57876,7980001,79800071,JHB,7,23.5768,3,0,0,0,0,0,0,3,0,3,0,0,0,0,79800071,57,202.10712,326.05608,428.84688,510.47952,570.954,610.27032,628.42848,625.42848,601.27032,555.954,489.47952,401.84688,293.05608,163.10712,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57877,7980002,79800080,JHB,7,32.5379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79800080,10,248.1681467,452.33132,622.48952,758.6427467,860.791,928.93428,963.0725867,963.20592,929.33428,861.4576667,759.57608,623.68952,453.7979867,249.90148,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57878,7980003,79800097,JHB,7,21.5507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79800097,27,32.70222,37.44698,41.23428,44.06412,45.9365,46.85142,46.80888,45.80888,43.85142,40.9365,37.06412,32.23428,26.44698,19.70222,12,3.518280317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57879,7980004,79800036,JHB,7,12.5326,3,0,0,0,0,0,3,0,0,0,0,0,0,0,79800036,458,688.8757333,882.5216,1038.9376,1158.123733,1240.08,1284.8064,1292.302933,1262.5696,1195.6064,1091.413333,949.9904,771.3376,555.4549333,302.3424,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57880,7980005,79800109,JHB,7,102.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79800109,275,318.6334933,353.55744,379.77184,397.2766933,406.072,406.15776,397.5339733,380.20064,354.15776,319.4053333,275.94336,223.77184,162.8907733,93.30016,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57881,7980006,79800124,JHB,7,169.686,9,0,0,0,0,0,0,0,0,3,0,0,0,0,79800124,370,297.1943507,231.408556,172.642616,120.8965307,76.1703,70.05327,63.93624,57.81921,51.70218,45.58515,39.46812,33.35109,27.23406,21.11703,15,9.356222909,2.919737272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57882,7980007,79800107,JHB,7,4.40862,6,0,0,0,0,0,0,0,0,0,0,0,0,0,79800107,384,440.9918,486.3562,520.0932,542.2028,552.685,551.5398,538.7672,514.3672,478.3398,430.685,371.4028,300.4932,217.9562,123.7918,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57883,7980008,79800117,JHB,7,109.193,9,0,0,0,0,0,0,0,0,0,0,0,0,0,79800117,420,406.46856,391.01304,373.63344,354.32976,333.102,301.2918,269.4816,237.6714,205.8612,174.051,142.2408,110.4306,78.6204,46.8102,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57884,7980009,79800127,JHB,7,222.841,12,0,0,0,0,0,0,0,0,3,0,0,0,0,79800127,226,334.4791467,425.48032,499.00352,555.0487467,593.616,614.70528,618.3165867,604.44992,573.10528,524.2826667,457.98208,374.20352,272.9469867,154.21248,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57885,7980010,79800080,JHB,7,22.6478,0,0,0,0,0,0,0,3,0,0,0,0,0,0,79800080,12,246.72808,447.98072,615.75792,750.05968,850.886,918.23688,952.11232,952.51232,919.43688,852.886,752.85968,619.35792,452.38072,251.92808,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
