,sal.code,wd.code16,House,Traditional,Flat,Cluster.house,Townhouse,Semi,House.in.backyard,BYS,Informal.dwelling.not.BYS,Flatlet,Caravan,Other,Unspecified,Not.applicable,areah,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,pred2012,pred2013,pred2014,pred2015,pred2016,pred2017,pred2018,pred2019,pred2020,pred2021,pred2022,pred2023,pred2024,pred2025,pred2026,pred2027,pred2028,pred2029,pred2030
323,5990323,59500014,108,0,3,0,0,0,0,9,0,0,0,15,0,0,2.66204,137.0208947,143.7145562,151.5033071,160.3963047,170.3975564,181.506546,193.568972,206.5680915,220.6946651,236.1138373,252.9436935,271.2991885,291.2044045,312.6290264,335.5427269,360.0139096,226.5990368,231.5446016,237.1849751,242.9814493,248.5105173,253.1496281,256.6437766,259.0091643,260.1659034,260.6975547,260.6157247,260.3519487,259.6422001,258.5606018,257.365665,256.1457519,254.7443367,253.1833219,251.4545069
324,5990324,59500039,126,0,3,0,0,0,3,3,120,0,0,0,0,0,0.911143,198.5947976,174.2319418,155.3230036,141.6208211,132.9296734,129.1048089,129.9459504,135.3912928,145.5272018,160.4462133,180.2510448,205.0882009,235.0769988,270.3131245,310.8948893,357.0137937,77.55861151,79.25134219,81.18188673,83.16586025,85.05830803,86.64614792,87.84209875,88.65170582,89.04762578,89.22959536,89.20158723,89.11130397,88.86837654,88.49817524,88.08918125,87.67163859,87.19197278,86.65768037,86.0659546
325,5990325,59500102,105,0,0,6,0,3,0,0,3,0,0,0,0,0,64.1072,47.18040813,78.9749226,108.6536467,136.4272277,162.4622857,186.8809078,209.6023736,230.6488924,250.2681953,268.6757663,286.0111721,302.3807897,317.7607225,332.0492323,345.1374913,357.0137937,466.9087627,484.7318686,502.144311,517.8891815,530.906079,539.7089156,543.6392864,542.6803794,536.679199,526.9002109,513.4296234,497.1877805,477.7292351,455.2976715,430.4439342,403.370694,373.8897044,342.1281073,308.175302
326,5990326,59500109,108,0,3,0,0,0,0,0,0,0,0,0,0,0,7.61514,6.974146055,6.888186668,10.12764814,16.62201987,26.33421137,39.25335054,55.34411744,74.58814214,97.05857148,122.8807748,152.2094164,185.2362592,222.1177093,262.9654487,307.8731046,357.0137937,521.4114065,602.6444944,678.5009959,695.0826259,710.8993032,724.1701323,734.1656357,740.93216,744.2411751,745.7620383,745.5279522,744.7733839,742.7430479,739.648984,736.2306989,732.7409659,728.7320207,724.2665181,719.3209996
327,5990327,59500010,87,0,0,0,0,0,3,0,0,45,0,3,0,0,45.7435,278.364159,317.4588169,351.1507593,379.7530165,403.4756598,422.4387087,436.3519953,445.2346514,449.519799,449.4782576,445.1814511,436.6044153,423.5064253,405.557586,382.4525785,354.0136778,406.4344172,360.3608226,305.8181371,241.2129625,165.6081222,78.57992424,0,0,0,0,0,0,0,0,0,0,0,0,0
328,5990328,59500004,120,3,3,0,0,0,0,0,3,0,0,0,0,0,21.0999,4.946221622,96.23563103,176.3181632,245.9093978,305.557966,355.6513002,396.1292387,427.0963327,449.0489948,462.3519953,467.1502027,463.4488385,450.9795462,429.3365016,398.1119357,357.0137937,388.2308506,313.4372457,222.802781,114.2848424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,5990329,59500050,21,0,3,0,0,36,36,0,0,0,0,0,0,0,4.0241,345.9287515,333.0380335,322.466923,314.0912255,307.7861234,303.4351218,300.7020719,299.5321274,300.1624425,302.740423,307.3267398,313.9728795,322.6303754,333.21237,345.6557735,360.0139096,44.48593904,45.45685268,46.5641712,47.70213542,48.78760246,49.69835302,50.3843245,50.84869757,51.07578868,51.18016249,51.16409763,51.11231311,50.9729752,50.76063576,50.52604567,50.28655225,50.01142633,49.70496778,49.3655667
330,5990330,59500099,90,0,0,66,0,0,0,0,0,3,0,3,0,0,26.0595,220.5361852,248.4889942,273.3659968,295.3739889,314.6522317,331.2806251,345.0239271,355.8894065,364.2209581,370.2519038,374.0727574,375.7117579,375.0269023,371.7990285,365.8238411,357.0137937,438.473312,424.8557412,407.431798,384.817361,356.0480692,320.1764603,277.1396372,227.409255,171.4959162,110.3812935,44.48246157,0,0,0,0,0,0,0,0
331,5990331,59500063,159,0,15,0,0,0,0,3,0,0,0,0,0,0,1.60214,1.359728995,6.214425854,13.6586941,23.66359933,36.2238078,51.35079195,69.01283096,89.19851168,112.0002464,137.5554625,166.0198659,197.577865,232.3672186,270.4760489,311.9745754,357.0137937,136.3778834,139.3543553,142.7489955,146.2375844,149.5652358,152.3572693,154.4602111,155.8838118,156.5799915,156.899964,156.8507149,156.6919622,156.2648023,155.613846,154.8946772,154.1604765,153.3170394,152.3775478,151.3370662
332,5990332,59500068,3,0,69,0,0,6,0,0,0,0,0,0,0,0,5.15412,448.1365253,448.2443273,447.6751509,446.433898,444.4774554,441.7309391,437.7626432,432.5294267,426.3960662,419.5605289,412.0528321,403.8470651,394.7539084,384.5305561,372.97365,360.0139096,438.8646029,423.7073719,406.6966469,386.5928638,362.5740328,333.7857817,300.1878363,262.2198031,220.2869465,175.3533548,127.7377647,77.90723984,25.94624935,0,0,0,0,0,0
333,5990333,59500039,165,3,0,3,0,0,0,0,57,0,0,0,0,0,1.44619,451.9978614,419.2532782,391.0281462,367.0452703,347.0509024,330.8264949,317.9464615,308.3232903,302.1716402,299.6039105,300.6527464,305.3577503,313.6798609,325.5598162,340.9724195,360.0139096,123.1030567,125.7898031,128.8540139,132.0030285,135.0067711,137.5270322,139.4252766,140.7103061,141.3387206,141.6275475,141.5830923,141.4397923,141.0542115,140.4666184,139.8174524,139.1547178,138.3933796,137.5453368,136.6061341
334,5990334,59500098,24,21,0,0,0,0,0,3,66,0,0,0,0,0,12.1142,0,1.040212761,5.318107688,12.7710953,23.36910741,37.10712165,53.9555066,73.89764912,97.00792175,123.4145713,153.2754415,186.7850835,224.1014783,265.3364934,310.5830729,360.0139096,525.5270549,607.0554525,698.006757,797.5957593,904.7621079,1017.024944,1132.511205,1250.135696,1368.208524,1488.558339,1610.440845,1735.864676,1862.654676,1990.664311,2007.818541,1998.301482,1987.368449,1975.190311,1961.703093
335,5990335,59500020,99,0,0,3,0,0,0,0,0,0,0,0,0,0,20.4319,422.4454019,325.8415422,244.2224401,176.7557127,122.7784522,81.79821692,53.43434236,37.51500758,33.93927582,42.64829552,63.69171516,97.25651195,143.6261361,203.1288522,276.1115265,363.0140255,589.682921,746.4636687,928.9828214,1137.369984,1370.887222,1626.048657,1899.538451,1987.967628,1996.845923,2000.926495,2000.298427,1998.273873,1992.826354,1984.524786,1975.353312,1965.990138,1955.233886,1943.252661,1929.983524
336,5990336,59500039,111,60,111,0,0,0,0,0,21,0,0,3,0,0,0.689142,159.7893542,156.8193343,156.3051814,158.1761215,162.3735557,168.8514522,177.4376433,188.100964,201.0028241,216.2877275,234.0696735,254.4737922,277.552747,303.3138177,331.7653556,363.0140255,75.02589421,76.66334788,78.53084947,80.45003528,82.28068418,83.81667232,84.97356875,85.75673767,86.13972866,86.31575593,86.28866242,86.20132741,85.9663329,85.60822072,85.21258264,84.80867506,84.34467298,83.82782817,83.25542552
337,5990337,59500010,123,0,0,12,6,3,6,0,0,3,0,3,0,0,49.0961,309.1685703,286.5139243,268.0669963,253.6133632,242.9662031,235.9718895,232.3301268,231.9750195,235.0741741,241.7434604,252.0551523,266.0990179,283.9009943,305.4592242,330.7890667,360.0139096,499.4372114,553.7359799,616.0778062,685.6855138,761.6885783,842.1285597,925.6453369,1011.534315,1098.578346,1188.351666,1280.31125,1376.081369,1473.945012,1573.790259,1676.783929,1783.329075,1892.161732,2003.12376,2115.827566
338,5990338,59500090,75,0,3,3,0,0,0,0,0,0,0,0,0,0,18.4185,601.8205133,534.8766214,476.5397017,426.2634662,383.5725957,348.0775812,319.2283012,296.8828308,281.1954502,272.2129626,269.9291249,274.3793883,285.5666989,303.5057461,328.2587264,360.0139096,506.69797,572.6553126,651.4185463,742.522974,845.3018271,957.7224773,1078.197687,1205.746464,1338.676727,1478.646253,1624.797927,1779.036248,1796.449288,1788.965772,1780.698074,1772.257566,1762.561256,1751.760685,1739.799115
339,5990339,59500035,54,0,6,21,27,0,3,0,0,0,0,0,0,0,20.6881,16.20995326,4.347073574,0,0,0,7.200531519,20.01244033,37.57391035,59.91059721,87.1205522,119.3597729,156.8428894,199.776725,248.3344148,302.6698164,363.0140255,545.5977095,646.3605888,759.7922864,885.2642197,1021.730003,1166.411912,1317.067739,1472.283339,1629.887113,1791.882764,1957.260976,2023.33066,2017.814833,2009.40917,2000.122693,1990.642113,1979.750985,1967.619525,1954.184003
340,5990340,59500021,72,3,0,18,42,0,6,0,0,0,0,0,0,0,18.0554,378.0367747,436.2068119,485.0895716,525.177862,556.8018377,580.149811,594.8360713,600.8994656,598.9284675,589.2620847,571.943754,546.863177,513.6151253,471.6832296,420.5918166,360.0139096,367.7545648,268.5452021,153.167166,19.64422906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
