,b_cat,house,tradit,flat,cluster,townhouse,semi,backyardhouse,backyardshack,informalsetl,flatlet,caravan,otherdwltyp,unspecdwel,pop12,pop13,pop14,pop15,pop16,pop17,x,y,sd16sd12
4925,4925,151.5170011,1.463414161,0.041426038,0,0.847625551,0.041426038,0,5.011618297,5.243498427,0,0,1.995531292,0,788.9315863,835.3947216,879.2864763,888.6681466,896.1176739,894.2024613,30.92500073,-29.7416669,-0.015790764
4926,4926,316.2642442,2.370766372,6.84672507,0,2.152374383,5.250118562,0,9.135256531,20.5112292,0,0,2.43327851,0,1374.198815,1372.095623,1348.610318,1223.221091,1124.034858,1030.512896,30.92916739,-29.7416669,0.010945514
4927,4927,231.9421706,115.4801315,5.568464075,3.538138187,1.328896141,4.176348056,3.286392727,2.390939831,111.7004564,0,0,26.92260925,0,1344.487069,1318.281504,1287.59448,1248.429221,1216.017674,1178.785704,30.93333406,-29.7416669,0.017798197
4928,4928,256.2931538,22.38594294,0,7.416287926,0.14328771,0,5.641229088,2.115888049,156.3628064,0,0,5.608543893,0,1713.657735,1740.301175,1760.771472,1761.089519,1751.368993,1729.228773,30.93750073,-29.7416669,0.01032249
4929,4929,169.2801131,9.248529602,0,0,0,0.486894518,1.771648967,14.143411,45.12023047,0,0,10.03637539,0,1119.228267,1101.373793,1070.455909,1016.042587,946.8104079,865.6843724,30.94166739,-29.7416669,0.006617715
4930,4930,320.7922991,1.676368298,0,0,2.358896464,1.330151437,2.504089263,44.18292836,49.01036802,0,0,5.46551325,0,1399.655338,1413.496446,1427.557283,1437.816135,1441.731734,1447.466547,30.94583406,-29.7416669,0.017082176
4931,4931,147.5621003,4.167110327,0,0.574680322,0.579045528,0,3.439901518,28.78448102,140.6086919,0,0,1.961589815,0,1344.478659,1351.938278,1357.936338,1359.695901,1374.759945,1418.745928,30.95000073,-29.7416669,0.022291695
4932,4932,114.1147653,3.213634424,1.423350309,2.32684241,0.125930819,0,0.600380922,61.49656998,70.11883384,0,0,3.149811797,0,1259.818213,1228.137673,1189.487664,1140.868479,1102.168469,1089.544904,30.95416739,-29.7416669,0.017996707
4933,4933,139.8489325,0.150088051,0,1.343584976,0,0,0,25.76433279,54.8684665,0,0,1.343584976,0,1115.732854,1110.015643,1107.058035,1180.386326,1259.301338,1339.748817,30.95833406,-29.7416669,0.010317679
4934,4934,147.2291752,0,0,2.214911662,0,0,0,0.039123433,0,0,0,0.60979026,0,621.7190689,473.9942796,312.4582694,317.854235,325.0697012,331.3182003,30.96250073,-29.7416669,0.00282575
4935,4935,233.9247174,0,0,1.002874689,0,0,0,3.353562236,1.666438127,0,0,0,0,916.6401645,825.213362,724.7731188,741.4902051,758.0817961,772.1938218,30.96666739,-29.7416669,0.008506292
4936,4936,260.9278267,2.057752178,0,0.296900977,1.039153418,0,1.909321355,2.833383121,1.330046714,0,0,0.148470154,0,1232.554981,1229.287135,1225.84391,1252.32878,1290.883157,1325.909034,30.97083406,-29.7416669,0.02653051
4937,4937,293.021726,1.468433077,0,0.054636212,0.020055077,0,3.426562685,5.088962209,0,0,0,3.238893808,0,1581.769808,1615.529039,1655.229928,1694.776883,1729.563466,1757.457402,30.97500073,-29.7416669,0.02848606
4938,4938,437.1706799,1.767295679,0,0,0.455664698,0,1.079089309,2.573061617,0,0,0,2.583647798,0,1409.343664,1361.464098,1309.671838,1231.956569,1177.06234,1147.522307,30.97916739,-29.7416669,0.030377042
4939,4939,307.248722,0,0,0,0.014999613,0.014999613,6.235742993,10.44515847,0,0,0,0.848561586,0,1270.671794,1158.267243,1027.196325,843.8391287,753.1989599,715.2924496,30.98333406,-29.7416669,0.031309677
4940,4940,334.3136485,0,0,0,0,0,23.05309972,25.49508589,0.003757423,0,0,2.390858917,0,1470.601307,1466.511071,1445.906918,1346.710572,1227.84278,1087.006987,30.98750073,-29.7416669,0.030454615
4941,4941,166.5850839,5.162333194,63.51231193,2.624422165,6.442691095,0,10.62020544,12.7565247,238.3293119,8.408485256,0,4.165193014,0,1158.040992,1114.409117,1051.733148,935.279299,798.4548084,758.6630698,30.99166739,-29.7416669,0.030706363
4942,4942,394.793923,25.79374522,677.8398941,4.005997017,2.375155115,0,9.843532175,133.9052483,809.1677696,2.918350267,0,22.77571278,0,1834.218508,1833.472611,1831.279605,1821.066035,1800.478688,1823.640648,30.99583406,-29.7416669,0.034377155
4943,4943,1479.382005,69.91602376,626.7925114,81.39880577,11.31410844,0,19.13962889,315.0465338,1447.711337,1.166621217,2.999989116,22.19415538,0,2229.48707,2278.057205,2274.321151,2310.383193,2352.492175,2387.510093,31.00000073,-29.7416669,0.035234456
4944,4944,345.5024781,27.86936795,514.5571792,7.640563634,12.73351196,2.149243224,2.577988969,268.6058526,824.1199325,5.999984915,0,137.9703297,0,1715.970709,1429.67013,1384.874137,1399.40689,1294.660893,1137.913468,31.0041674,-29.7416669,0.026883171
4945,4945,105.8807235,0.794152224,0,0,0.397076112,0.397076112,0,34.49846375,0,0,0,2.288140713,0,541.9372423,580.0452157,600.237509,606.7994985,613.0462341,616.4996029,31.00833406,-29.7416669,0.015804598
4946,4946,176.8019877,0.083250608,0,0.166501216,0,0,0,0.092401973,1.54703323,0,0,0.184803946,0,822.4356325,917.9630627,1006.585917,1090.992697,1180.477957,1229.599577,31.01250073,-29.7416669,0.001304763
4947,4947,368.2252055,2.141132874,94.8558321,0,0.428419961,2.569123205,0.453010396,0.024590435,4.072810114,0,0,0,0,1393.157539,1463.310112,1543.415743,1627.97967,1712.063893,1746.514379,31.0166674,-29.7416669,-0.00286737
4948,4948,218.035156,1.811140743,74.06575257,0,0,0.322690326,0.489173917,0.489173917,21.04971172,0,0,0,0,902.3141754,922.4247043,944.3921928,967.3383939,989.6112558,1008.232791,31.02083406,-29.7416669,-0.013004696
4949,4949,38.329021,0,0.580742742,0,0,0.448495655,0,0,1.161485485,0,0,0,0,260.3663295,266.173757,272.5619271,279.1436782,285.5318484,290.952114,31.02500073,-29.7416669,-0.022862204
4950,4950,0,0,0,0,0,0.093826375,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0291674,-29.7416669,-0.043748411
4951,4951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.03333406,-29.7416669,-0.040528198
4952,4952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.03750073,-29.7416669,-0.027397749
4953,4953,15.16167661,0,4.261092619,4.77446546,6.407508033,0.171124281,0,0.171124281,0.129570195,0.171124281,0,0.171124281,0,78.85339208,89.37835332,101.5575159,115.2767971,130.4221139,146.6512178,31.0416674,-29.7416669,-0.0134177
4954,4954,92.60453746,0,9.953448749,13.40337573,18.80095875,1.10593875,0,1.10593875,0.132110729,1.238049478,0,1.10593875,0,514.6268434,585.2597646,666.9357223,758.961461,860.5116143,969.1981571,31.04583406,-29.7416669,0.011334273
4955,4955,102.0055374,1.874876456,33.92002246,33.72087553,16.9661729,0.395794589,0,0.395794589,3.356692199,1.528244566,0,0.395794589,0,609.9099302,685.6481582,771.3169414,866.3739949,969.7790043,1078.139738,31.05000073,-29.7416669,0.017445761
4956,4956,83.55654501,2.245147159,23.75388371,43.29097249,15.55178754,0,0.78651464,0,4.269190337,0.493429715,0,0.52993145,0,430.2348346,474.3334811,523.7624106,576.7544989,633.976905,692.1566304,31.0541674,-29.7416669,0.015873509
4957,4957,52.52220781,0.633565606,12.03774652,8.086865046,4.954651269,0,1.117643375,0,0,0,0,0.484077769,0,341.2062915,392.3804584,450.1631706,513.908991,583.1955427,656.5326344,31.05833406,-29.7416669,0.013043237
4958,4958,24.32041474,0.715306316,13.59082,8.583675789,2.861225263,0,0.715306316,0,0,0,0,0,0,221.268087,268.4783038,322.6031484,383.6426207,451.1198498,524.081094,31.06250073,-29.7416669,0.019313988
4959,4959,9.163036301,0.262459352,5.97100306,3.149512224,1.049837408,0,0.262459352,0,0,0,0,0,0,86.28614999,104.7434875,125.8975442,149.7571876,176.1297101,204.6385638,31.0666674,-29.7416669,0.025547028
4960,4960,1.974973035,0,8.119333589,0,0,0,0,0,0,0,0,0,0,42.05961093,51.42244606,62.10192988,74.17120954,87.48399074,101.820832,31.07083406,-29.7416669,0.023652939
4961,4961,41.89505923,1.060897657,3.729332263,1.060897657,1.591346486,0,1.060897657,0,0,1.060897657,0,0.530448829,0,206.9875856,238.4508799,276.8030769,321.5329888,372.7789096,429.5989745,31.07500073,-29.7416669,0.010328537
4962,4962,39.78974217,1.093290677,5.092777519,1.438574827,2.934751579,0.086321038,1.00696964,0.086321038,0,0.920648602,0,0.546645339,0,199.7650928,228.1809137,262.8207675,303.1667826,349.3724004,400.5265454,31.0791674,-29.7416669,0.008518193
4963,4963,0.217573688,0.01483457,0.074172848,0,0,0,0,0,0.009889713,0,0,0.024724283,0,0.568658502,0,0,0,0,0,30.56666739,-29.74583357,-0.120854941
