"","gridnumber","pop11","pop12","pop13","pop14","pop15","pop16","pop17","threshold","night1206","night1606","x2016_0.5","x2016_0.6","x2016_0.7","x2016_0.8","x2016_0.9","x2016_1.0","x2016_1.1","x2016_1.2","x2016_1.3","x2016_1.4","x2016_1.5","x2016_1.6","x2016_1.7","x2016_1.8","x2016_1.9","x2016_2.0"
"1",1,18.6843811203801,0,0,0,0,0,0,-0.171210996514866,0.709547102451324,1.01374018192291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,53.3097929239272,58.1561377351933,60.5793101408263,63.0024825464594,65.4256549520925,67.8488273577255,69.4642756281475,-0.58171581006354,1.4807870388031,0.876137673854828,64.2911327013042,65.8446036578611,66.8396786752282,67.5257601485236,67.8949143236222,68.0939195668038,68.2710953448114,68.3842091524188,68.5625259375245,68.5687309158568,68.627043638023,68.6435967258762,68.6438230021099,68.6440492798354,68.6442189891085,68.6443321290901
"3",3,61.6359236115272,67.2391893943933,70.0408222858264,72.8424551772594,75.6440880686925,78.4457209601255,80.3134762210809,-0.234314893674666,1.78471493721008,0.896245181560516,74.3323717225992,76.1284698118884,77.2789595135778,78.072195858346,78.4990059675077,78.7290926231535,78.9339404028977,79.0647207646794,79.2708877584457,79.2780618544142,79.3454820842047,79.3646204976649,79.3648821146004,79.3651437332607,79.3653399483878,79.3654707590115
"4",4,55.8678330484509,60.9467269619464,63.4861739186942,66.0256208754419,68.5650678321897,71.1045147889375,72.7974794267693,-0.040362398314219,1.19026076793671,1.10739970207214,67.3761061757969,69.0041195535714,70.0469426802767,70.7659453832586,71.1528132117076,71.3613676084149,71.5470450654645,71.6655865748623,71.8524597895873,71.8589625102794,71.9200733352873,71.9374207136562,71.9376578476264,71.93789498316,71.9380728358362,71.9381914047755
"5",5,27.120807783477,29.5863357637931,30.8190997539511,32.0518637441091,33.2846277342672,34.5173917244252,35.3392343845306,0.259216271449823,0.530088007450104,1.16303074359894,32.7074512306253,33.4977635709886,34.0039977316552,34.3530346110068,34.5408379933911,34.6420798600765,34.7322162113111,34.7897616952741,34.8804785221115,34.8836352408947,34.9133012373741,34.9217224502371,34.9218375659391,34.9219526824001,34.922039020244,34.9220965790437
"6",6,31.2888040876292,0,0,0,0,0,0,-0.225873430730822,0.562586069107056,0.834871530532837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,39.0000874884852,0,0,0,0,0,0,-0.257001864241443,0.580427229404449,0.926552712917328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,31.9730354825288,0,0,0,0,0,0,-0.212736041662212,0.666202962398529,0.998091518878937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,65.9999231678594,71.9999161831194,74.9999126907494,77.9999091983793,80.9999057060093,83.9999022136393,85.9998998853926,-0.789478015602986,1.97319805622101,1.29970705509186,79.5953160935323,81.5185830610586,82.7505307218983,83.5999304670635,84.0569599518407,84.3033374003281,84.5226889883636,84.6627289735492,84.88349317973,84.8911752221977,84.9633689969544,84.983862464788,84.9841426049503,84.9844227469595,84.9846328546784,84.9847729270681
"10",10,65.9999231678594,71.9999161831194,74.9999126907494,77.9999091983793,80.9999057060093,83.9999022136393,85.9998998853926,-0.526872418628018,3.28510665893555,1.39288139343262,79.5953160935323,81.5185830610586,82.7505307218983,83.5999304670635,84.0569599518407,84.3033374003281,84.5226889883636,84.6627289735492,84.88349317973,84.8911752221977,84.9633689969544,84.983862464788,84.9841426049503,84.9844227469595,84.9846328546784,84.9847729270681
