Indicator,Region,Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
50,City of Tshwane,City,,,,,,,,,,,,"19,771,998",,,,"18,609,021",,,,,,
50,City of Cape Town,City,,,,,,,,,,,,"17,746,462",,,,"12,542,036",,,,,,
50,EThekwini Municipality,City,,,,,,,,,,,,"24,146,165",,,,"37,895,172",,,,,,
50,Ekurhuleni Municipality,City,,,,,,,,,,,,"12,043,697",,,,"21,356,238",,,,,,
50,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,"6,670,315",,,,"7,879,156",,,,,,
50,Buffalo City Municipality,City,,,,,,,,,,,,"5,525,130",,,,"4,417,947",,,,,,
50,Mangaung Municipality,City,,,,,,,,,,,,,,,,"608,530",,,,,,
50,Msunduzi Municipality,City,,,,,,,,,,,,"871,198",,,,,,,,,,
51,City of Johannesburg,City,,,,,,,,,,,,"86,250,420",,,,"111,247,068",,,,,,
51,City of Tshwane,City,,,,,,,,,"46,281,975",,,"52,884,764",,,,"42,579,816",,,,,,
51,City of Cape Town,City,,,,,,,,,"76,673,832",,,"64,999,789",,,,"100,988,653",,,,,,
51,EThekwini Municipality,City,,,,,,,,,,,,"69,499,640",,,,"139,023,928",,,,,,
51,Ekurhuleni Municipality,City,,,,,,,,,,,,"46,606,490",,,,"82,298,271",,,,,,
51,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,"17,684,318",,,,"15,264,242",,,,,,
51,Buffalo City Municipality,City,,,,,,,,,,,,"12,004,574",,,,"12,989,378",,,,,,
51,Mangaung Municipality,City,,,,,,,,,,,,,,,,"9,406,084",,,,,,
51,Msunduzi Municipality,City,,,,,,,,,,,,"7,783,583",,,,,,,,,,
52,City of Johannesburg,City,,,,,,,,,"1,484,842",,,"1,239,906",,,,"1,242,041",,,,,,
52,City of Tshwane,City,,,,,,,,,"962,857",,,"4,664,165",,,,"1,682,505",,,,,,
52,City of Cape Town,City,,,,,,,,,"1,784,704",,,"1,136,654",,,,"2,204,190",,,,,,
52,EThekwini Municipality,City,,,,,,,,,"1,761,693",,,"37,878",,,,"2,050,057",,,,,,
52,Ekurhuleni Municipality,City,,,,,,,,,"1,853,043",,,"1,924,714",,,,"2,724,806",,,,,,
52,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,"2,255,311",,,,"782,467",,,,,,
52,Buffalo City Municipality,City,,,,,,,,,"26,402",,,"240,947",,,,"175,191",,,,,,
52,Mangaung Municipality,City,,,,,,,,,"271,348",,,,,,,"192,091",,,,,,
52,Msunduzi Municipality,City,,,,,,,,,"34,013",,,"1,619",,,,,,,,,,
53,City of Johannesburg,City,,,,,,,,,,,,"209,676",,,,"4,061",,,,,,
53,City of Tshwane,City,,,,,,,,,,,,"2,663,032",,,,"589,365",,,,,,
53,City of Cape Town,City,,,,,,,,,,,,,,,,"760,895",,,,,,
53,EThekwini Municipality,City,,,,,,,,,,,,"3,621,700",,,,,,,,,,
53,Ekurhuleni Municipality,City,,,,,,,,,,,,"842,913",,,,6,,,,,,
53,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,"224,151",,,,515,,,,,,
53,Buffalo City Municipality,City,,,,,,,,,,,,"522,681",,,,,,,,,,
53,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,,,
53,Msunduzi Municipality,City,,,,,,,,,,,,"983,341",,,,,,,,,,
54,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,"2,331",,,"154,662"
54,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,,,"35,000"
54,City of Cape Town,City,,,,,,,,,,,,,,,,"7,770",,,"7,785",,,"7,905"
54,EThekwini Municipality,City,,,,,,,,,,,,,,,,"45,000",,,"45,000",,,"45,000"
54,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,"7,531",,,"21,801"
54,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,"5,000",,,"5,000"
54,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,,,
54,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,,,
54,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
55,City of Johannesburg,City,,,,,,,,,,,,,,,,"17,310,885",,,,,,
55,City of Tshwane,City,,,,,,,,,,,,,,,,"3,750,306",,,,,,
55,City of Cape Town,City,,,,,,,,,,,,,,,,"3,792,024",,,,,,
55,EThekwini Municipality,City,,,,,,,,,,,,,,,,"1,651,893",,,,,,
55,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,"2,158,878",,,,,,
55,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,"1,046,073",,,,,,
55,Buffalo City Municipality,City,,,,,,,,,,,,,,,,"1,580,890",,,,,,
55,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,,,
55,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
56,City of Johannesburg,City,,,,,,,,,5.6,,,,,,,5.7,6.4,,,,,
56,City of Tshwane,City,,,,,,,,,8.1,,,,,,,7.5,5.7,,,,,
56,City of Cape Town,City,,,,,,,,,6.4,,,,,,,5.9,5.5,,,,,
56,EThekwini Municipality,City,,,,,,,,,5.6,,,,,,,7.3,,,,,,
56,Ekurhuleni Municipality,City,,,,,,,,,8.3,,,,,,,5.5,,,,,,
56,Nelson Mandela Bay Municipality,City,,,,,,,,,4.7,,,,,,,4.7,4.5,,,,,
56,Buffalo City Municipality,City,,,,,,,,,3.5,,,,,,,4,,,,,,
56,Mangaung Municipality,City,,,,,,,,,3.8,,,,,,,,2.9,,,,,
56,Msunduzi Municipality,City,,,,,,,,,6.3,,,,,,,5.7,,,,,,
57,City of Johannesburg,City,,,,,,,,,,,,,,,,,,"52,096.60","263,664.20",,,
57,City of Tshwane,City,,,,,,,,,,,,,,,,,,"24,139.90","21,461.60",,,
57,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,,,
57,EThekwini Municipality,City,,,,,,,,,,,,,,,,"3,543.00","321,262.80","1,328,357.20","6,792,942.90",,,
57,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,"5,609.90","5,120,799.30","366,978.80",,,
57,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,"7,434.00",,"22,010,126.50","15,421,621.50",,,
57,Buffalo City Municipality,City,,,,,,,,,,,,,,,,"2,391.20","2,152.90","1,091.10","25,901.10",,,
57,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,,,
57,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
58,City of Johannesburg,City,,,,,,6.26%,,,,,,,,,,1,,,,,,
58,City of Tshwane,City,,,,,,9.31%,,,,,,,,,,1,,,,,,
58,City of Cape Town,City,,,,,,0.25%,,,,,,,,,,0,,,,,,
58,EThekwini Municipality,City,,,,,,0.57%,,,,,,,,,,0,,,,,,
58,Ekurhuleni Municipality,City,,,,,,19.12%,,,,,,,,,,7,,,,,,
58,Nelson Mandela Bay Municipality,City,,,,,,0.28%,,,,,,,,,,0,,,,,,
58,Buffalo City Municipality,City,,,,,,0.61%,,,,,,,,,,1,,,,,,
58,Mangaung Municipality,City,,,,,,4.68%,,,,,,,,,,1,,,,,,
58,Msunduzi Municipality,City,,,,,,0.64%,,,,,,,,,,,,,,,,
59,City of Johannesburg,City,,,,,,1.65%,,,,,,,,,,2,,,,,,
59,City of Tshwane,City,,,,,,2.90%,,,,,,,,,,4,,,,,,
59,City of Cape Town,City,,,,,,2.25%,,,,,,,,,,2,,,,,,
59,EThekwini Municipality,City,,,,,,7.04%,,,,,,,,,,3,,,,,,
59,Ekurhuleni Municipality,City,,,,,,1.44%,,,,,,,,,,3,,,,,,
59,Nelson Mandela Bay Municipality,City,,,,,,3.72%,,,,,,,,,,2,,,,,,
59,Buffalo City Municipality,City,,,,,,10.99%,,,,,,,,,,5,,,,,,
59,Mangaung Municipality,City,,,,,,3.79%,,,,,,,,,,2,,,,,,
59,Msunduzi Municipality,City,,,,,,17.37%,,,,,,,,,,0,,,,,,
60,City of Johannesburg,City,,,,,,0.65%,,,,,,,,,,0,,,,,,
60,City of Tshwane,City,,,,,,0.81%,,,,,,,,,,0,,,,,,
60,City of Cape Town,City,,,,,,0.22%,,,,,,,,,,0,,,,,,
60,EThekwini Municipality,City,,,,,,0.32%,,,,,,,,,,1,,,,,,
60,Ekurhuleni Municipality,City,,,,,,6.93%,,,,,,,,,,0,,,,,,
60,Nelson Mandela Bay Municipality,City,,,,,,0.20%,,,,,,,,,,0,,,,,,
60,Buffalo City Municipality,City,,,,,,0.27%,,,,,,,,,,0,,,,,,
60,Mangaung Municipality,City,,,,,,0.50%,,,,,,,,,,,,,,,,
60,Msunduzi Municipality,City,,,,,,0.46%,,,,,,,,,,,,,,,,
61,City of Johannesburg,City,,,,,,0.29%,,,,,,,,,,0,,,,,,
61,City of Tshwane,City,,,,,,1.03%,,,,,,,,,,1,,,,,,
61,City of Cape Town,City,,,,,,0.36%,,,,,,,,,,0,,,,,,
61,EThekwini Municipality,City,,,,,,2.40%,,,,,,,,,,1,,,,,,
61,Ekurhuleni Municipality,City,,,,,,0.33%,,,,,,,,,,0,,,,,,
61,Nelson Mandela Bay Municipality,City,,,,,,0.92%,,,,,,,,,,1,,,,,,
61,Buffalo City Municipality,City,,,,,,6.69%,,,,,,,,,,3,,,,,,
61,Mangaung Municipality,City,,,,,,1.35%,,,,,,,,,,0,,,,,,
61,Msunduzi Municipality,City,,,,,,9.40%,,,,,,,,,,,,,,,,
62,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,,,
62,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,,,
62,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,,,
62,EThekwini Municipality,City,,,,,,,,,,,,,"74,703","74,711","74,500","75,000","74,500",,,,,
62,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,,,
62,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,,,
62,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,,,
62,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,,,
62,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
63,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,18537957,,
63,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,11980261,,
63,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,18353781,,
63,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,17934080,,
63,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,13671860,,
63,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,4168042,,
63,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,3444628,,
63,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,2566386,,
63,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
64,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,7269160,,
64,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,4030792,,
64,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,20043476,,
64,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,11663702,,
64,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,4479483,,
64,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,1698082,,
64,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,357419,,
64,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,2340899,,
64,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
65,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,20109492,,
65,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,18609021,,
65,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,12542036,,
65,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,37895172,,
65,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,21356238,,
65,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,7879156,,
65,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,4417947,,
65,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,608530,,
65,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
66,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,111247068,,
66,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,42579801,,
66,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,100988653,,
66,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,139023928,,
66,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,822298271,,
66,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,15264242,,
66,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,12989378,,
66,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,9406084,,
66,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
67,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,1242041,,
67,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,1682505,,
67,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,2204190,,
67,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,2050057,,
67,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,2724806,,
67,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,782467,,
67,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,175191,,
67,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,192091,,
67,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
68,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,4061,,
68,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,589365,,
68,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,760895,,
68,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,0,,
68,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,6,,
68,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,515,,
68,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,0,,
68,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,0,,
68,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
69,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,17310885,,
69,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,13107865,,
69,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,3792024,,
69,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,1651893,,
69,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,2158878,,
69,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,1046073,,
69,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,1580890,,
69,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,0,,
69,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
70,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,5236066,,
70,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,3364393,,
70,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,4752490,,
70,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,3831139,,
70,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,3569459,,
70,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,1105264,,
70,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,601887,,
70,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,686325,,
70,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
71,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,1289301,,
71,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,1147661,,
71,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,5495718,,
71,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,2995323,,
71,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,1253091,,
71,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,484166,,
71,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,91582,,
71,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,666727,,
71,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
72,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,5641357,,
72,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,4776023,,
72,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,2261431,,
72,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,7069124,,
72,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,5597726,,
72,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,2001279,,
72,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,932962,,
72,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,149964,,
72,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
73,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,7692684,,
73,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,2915381,,
73,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,6974396,,
73,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,10221450,,
73,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,5746053,,
73,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,1051395,,
73,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,892765,,
73,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,647151,,
73,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
74,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,334038,,
74,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,387744,,
74,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,503635,,
74,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,429913,,
74,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,714004,,
74,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,187767,,
74,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,47639,,
74,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,52474,,
74,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
75,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,1162,,
75,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,168624,,
75,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,217630,,
75,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,0,,
75,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,2,,
75,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,147,,
75,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,0,,
75,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,0,,
75,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
76,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,,4952837,,
76,City of Tshwane,City,,,,,,,,,,,,,,,,,,,,3750306,,
76,City of Cape Town,City,,,,,,,,,,,,,,,,,,,,1076937,,
76,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,,472625,,
76,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,,617679,,
76,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,,299293,,
76,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,,452310,,
76,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,,0,,
76,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
77,City of Johannesburg,City,,,,,,,,,19071604,,,22538611,,,,23258356,,,,,,
77,City of Tshwane,City,,,,,,,,,13081841,,,17626379,,,,16501042,,,,,,
77,City of Cape Town,City,,,,,,,,,17754870,,,20563319,,,,20018674,,,,,,
77,EThekwini Municipality,City,,,,,,,,,16054034,,,18084645,,,,20474251,,,,,,
77,Ekurhuleni Municipality,City,,,,,,,,,17406272,,,21053209,,,,15816260,,,,,,
77,Nelson Mandela Bay Municipality,City,,,,,,,,,4418553,,,4929802,,,,5129311,,,,,,
77,Buffalo City Municipality,City,,,,,,,,,2357672,,,2647902,,,,2978551,,,,,,
77,Mangaung Municipality,City,,,,,,,,,2334696,,,,,,,2188349,,,,,,
77,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,
78,Western Cape,Province,,,,,,,,,,,,,,,"307,828","308,283","311,950","317,451",,,,
78,Eastern Cape,Province,,,,,,,,,,,,,,,"636,734","601,060","595,312","592,026",,,,
78,Northern Cape,Province,,,,,,,,,,,,,,,"85,191","81,159","86,852","87,879",,,,
78,Free State,Province,,,,,,,,,,,,,,,"192,735","194,195","196,862","200,055",,,,
78,KwaZulu-Natal,Province,,,,,,,,,,,,,,,"808,650","809,656","812,084","808,763",,,,
78,North West,Province,,,,,,,,,,,,,,,"231,951","234,584","237,333","242,276",,,,
78,Gauteng,Province,,,,,,,,,,,,,,,"579,643","586,336","603,442","623,591",,,,
78,Mpumalanga,Province,,,,,,,,,,,,,,,"303,758","304,505","307,885","308,546",,,,
78,Limpopo,Province,,,,,,,,,,,,,,,"461,290","454,300","455,106","458,624",,,,
79,Western Cape,Province,,,,,,,,,,,,,,,"300,256","298,929","302,943","308,405",,,,
79,Eastern Cape,Province,,,,,,,,,,,,,,,"596,171","556,841","545,510","541,194",,,,
79,Northern Cape,Province,,,,,,,,,,,,,,,"80,803","85,944","81,679","82,773",,,,
79,Free State,Province,,,,,,,,,,,,,,,"182,984","182,881","185,648","188,419",,,,
79,KwaZulu-Natal,Province,,,,,,,,,,,,,,,"755,946","757,673","759,730","753,232",,,,
79,North West,Province,,,,,,,,,,,,,,,"219,582","221,326","224,252","228,538",,,,
79,Gauteng,Province,,,,,,,,,,,,,,,"566,651","575,677","589,619","608,592",,,,
79,Mpumalanga,Province,,,,,,,,,,,,,,,"284,992","283,559","283,823","286,280",,,,
79,Limpopo,Province,,,,,,,,,,,,,,,"429,203","420,524","424,452","427,205",,,,
80,Western Cape,Province,,,,,,,,,,,,,,,"160,898","163,984","167,247","167,465",,,,
80,Eastern Cape,Province,,,,,,,,,,,,,,,"300,361","298,521","302,528","306,121",,,,
80,Northern Cape,Province,,,,,,,,,,,,,,,"44,018","45,442","44,898","45,542",,,,
80,Free State,Province,,,,,,,,,,,,,,,"124,782","124,246","121,622","118,328",,,,
80,KwaZulu-Natal,Province,,,,,,,,,,,,,,,"514,987","534,106","541,332","544,286",,,,
80,North West,Province,,,,,,,,,,,,,,,"129,349","129,300","131,652","131,001",,,,
80,Gauteng,Province,,,,,,,,,,,,,,,"360,867","370,953","373,726","375,950",,,,
80,Mpumalanga,Province,,,,,,,,,,,,,,,"191,171","194,163","193,881","192,216",,,,
80,Limpopo,Province,,,,,,,,,,,,,,,"345,063","346,590","354,655","350,358",,,,
81,Western Cape,Province,,,,,,,,,,,,,,,"183,491","187,576","192,897","193,682",,,,
81,Eastern Cape,Province,,,,,,,,,,,,,,,"338,430","335,389","335,991","334,699",,,,
81,Northern Cape,Province,,,,,,,,,,,,,,,"46,023","48,057","47,946","48,467",,,,
81,Free State,Province,,,,,,,,,,,,,,,"125,996","127,008","126,182","124,204",,,,
81,KwaZulu-Natal,Province,,,,,,,,,,,,,,,"538,215","551,074","562,598","563,014",,,,
81,North West,Province,,,,,,,,,,,,,,,"134,150","134,760","136,647","137,791",,,,
81,Gauteng,Province,,,,,,,,,,,,,,,"378,656","386,136","395,563","398,472",,,,
81,Mpumalanga,Province,,,,,,,,,,,,,,,"200,589","203,449","205,622","204,548",,,,
81,Limpopo,Province,,,,,,,,,,,,,,,"354,422","353,685","362,298","357,353",,,,
82,Western Cape,Province,,,,,,,,,,,,30.3,28.8,28.5,28.3,28.3,28.5,28.9,,,,
82,Eastern Cape,Province,,,,,,,,,,,,32.3,31.3,29.8,29.7,28.7,28.7,29.4,,,,
82,Northern Cape,Province,,,,,,,,,,,,31,29.5,29.4,30.5,30.9,31.3,31.5,,,,
82,Free State,Province,,,,,,,,,,,,28.9,28.7,27.5,27.5,27.4,26.7,27.2,,,,
82,KwaZulu-Natal,Province,,,,,,,,,,,,32.4,31.9,31.6,30.5,30.5,30.3,29.8,,,,
82,North West,Province,,,,,,,,,,,,29.1,29.3,29.1,29.2,29.5,29.9,30.1,,,,
82,Gauteng,Province,,,,,,,,,,,,29.8,29.5,28.7,28.1,28.3,28.1,28.5,,,,
82,Mpumalanga,Province,,,,,,,,,,,,32.7,31.3,29.4,30,30.2,30.4,30.1,,,,
82,Limpopo,Province,,,,,,,,,,,,33.2,30.9,29.2,29.3,29.2,29.8,30,,,,
83,City of Johannesburg,City,,,,,,,,,,,,,,,,0.05,,,,,,
83,City of Tshwane,City,,,,,,,,,,,,,,,,0.049,,,,,,
83,City of Cape Town,City,,,,,,,,,,,,,,,,0.056,,,,,,
83,EThekwini Municipality,City,,,,,,,,,,,,,,,,0.051,,,,,,
83,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,0.052,,,,,,
83,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,0.056,,,,,,
83,Buffalo City Municipality,City,,,,,,,,,,,,,,,,0.055,,,,,,
83,Mangaung Municipality,City,,,,,,,,,,,,,,,,0.054,,,,,,
83,Msunduzi Municipality,City,,,,,,,,,,,,,,,,0.054,,,,,,
84,City of Johannesburg,City,,,,,,,,,,,,,,,,20.80%,,,,,,
84,City of Tshwane,City,,,,,,,,,,,,,,,,20.20%,,,,,,
84,City of Cape Town,City,,,,,,,,,,,,,,,,15.60%,,,,,,
84,EThekwini Municipality,City,,,,,,,,,,,,,,,,21.40%,,,,,,
84,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,19.40%,,,,,,
84,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,15%,,,,,,
84,Buffalo City Municipality,City,,,,,,,,,,,,,,,,13.60%,,,,,,
84,Mangaung Municipality,City,,,,,,,,,,,,,,,,16.50%,,,,,,
84,Msunduzi Municipality,City,,,,,,,,,,,,,,,,18.60%,,,,,,
85,City of Johannesburg,City,0.8435,0.84,0.84,0.84,0.84,0.85,0.85,0.86,0.87,0.87,0.88,0.89,0.9,0.9,0.91,0.92,0.92,0.92,,,,
85,City of Tshwane,City,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.84,0.85,0.86,0.87,0.88,0.88,0.89,0.9,0.9,0.91,0.91,,,,
85,City of Cape Town,City,0.85,0.85,0.85,0.85,0.85,0.85,0.86,0.86,0.87,0.88,0.89,0.89,0.9,0.91,0.91,0.92,0.92,0.92,,,,
85,EThekwini Municipality,City,0.79,0.79,0.79,0.79,0.79,0.8,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.87,0.88,0.88,0.88,,,,
85,Ekurhuleni Municipality,City,0.82,0.81,0.81,0.81,0.82,0.82,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.9,0.91,0.91,,,,
85,Nelson Mandela Bay Municipality,City,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.89,0.9,0.9,,,,
85,Buffalo City Municipality,City,0.75,0.75,0.75,0.75,0.75,0.76,0.76,0.77,0.78,0.8,0.81,0.82,0.84,0.85,0.85,0.86,0.86,0.86,,,,
